domain	last_responding_IP	server_ip	block_level	crawler_block_type	traceroute_block_type	block_status_code	lri_country	srv_country	lri_location_category	lri_comparison	lri_distance	merged_hops	min_diff	ref_ip	cdn_str	final_label
leboncoin.fr	52.46.93.38	15.236.48.125	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	4	1	N/A	CDN_True	HTTP-Serverside-Blocking
windowsdefender.site	103.224.213.253	103.224.182.208	HTTP	Blockpage	HTTP-TracerouteComplete	200-Empty-page	AU	AU	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	HTTP-Serverside-Blocking
highlow.net	192.80.16.110	45.60.72.51	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER: Incapsula incident	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	1	107.154.248.160	CDN_True	HTTP-Serverside-Blocking
wearthecanvas.com	185.17.24.66	94.229.72.123	HTTP	Blockpage	HTTP-TracerouteComplete	429-OTHER	GB	GB	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	HTTP-Serverside-Blocking
amazfit.com	154.54.28.130	203.107.42.43	HTTP	Blockpage	HTTP-PacketDrop	404-OTHER	US	CN	ELSEWHERE	FROM_TEST	FAR_FROM_SERVER	0	4	204.155.150.240	CDN_False	HTTP-Censorship
22000-tools.com	216.6.87.42	104.26.6.197	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	1	104.26.12.102	CDN_True	HTTP-Serverside-Blocking
wethrift.com	216.6.87.221	104.26.15.102	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER:ABUSE_BLOCKED-CAPTCHA	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	1	104.26.12.102	CDN_True	HTTP-Serverside-Blocking
bitstarz.com	66.198.70.2	104.18.16.230	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
goeuro.de	66.198.70.2	104.27.163.130	HTTP	Blockpage	HTTP-TracerouteComplete	405-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
janefonda.com	66.198.155.129	96.45.82.104	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	PH	US	ELSEWHERE	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	HTTP-Serverside-Blocking
abcr.de	138.201.85.162	138.201.183.20	HTTP	Blockpage	HTTP-TracerouteComplete	200-UNSUPPORTED_BROWSER	DE	DE	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	HTTP-Serverside-Blocking
